age,workclass,educational-num,marital-status,occupation,gender,capital-gain,capital-loss,hours-per-week,native-country,income
63,Private,9,Married,Craft-repair,Male,0,0,40,Canada&USA,<=50K
34,Local-gov,13,Married,Exec-managerial,Male,3103,0,50,Canada&USA,>50K
42,Self-emp-inc,9,Married,Exec-managerial,Male,5178,0,50,Canada&USA,>50K
33,Private,9,Married,Handlers-cleaners,Male,0,0,40,Canada&USA,<=50K
30,Private,13,Never-married,Exec-managerial,Female,0,0,50,Canada&USA,<=50K
39,Private,10,Divorced,Sales,Male,0,0,40,Canada&USA,<=50K
26,Private,14,Never-married,Exec-managerial,Female,0,0,40,Canada&USA,<=50K
33,Private,9,Never-married,Machine-op-inspct,Female,0,0,40,Canada&USA,<=50K
47,Local-gov,9,Divorced,Adm-clerical,Female,0,0,40,Canada&USA,<=50K
41,Self-emp-inc,12,Married,Craft-repair,Male,15024,0,60,Canada&USA,>50K
19,Private,10,Never-married,Other-service,Male,0,0,20,Canada&USA,<=50K
46,Private,9,Separated,Transport-moving,Male,0,0,40,Canada&USA,<=50K
43,Private,9,Married,Sales,Male,0,0,48,Canada&USA,<=50K
55,Private,10,Married,Exec-managerial,Male,15024,0,45,Canada&USA,>50K
46,Private,11,Married,Tech-support,Male,0,0,40,Canada&USA,<=50K
30,Private,9,Married,Machine-op-inspct,Male,0,0,40,Center & South America,<=50K
21,Private,10,Separated,Handlers-cleaners,Female,0,0,40,Canada&USA,<=50K
46,Private,10,Married,Craft-repair,Male,0,0,40,Center & South America,<=50K
41,Private,9,Married,Machine-op-inspct,Male,0,0,50,Canada&USA,<=50K
69,Self-emp-inc,9,Married,Sales,Male,0,0,30,Canada&USA,<=50K
50,Private,9,Married,Transport-moving,Male,0,0,40,Canada&USA,<=50K
20,Private,10,Never-married,Adm-clerical,Female,0,0,40,Canada&USA,<=50K
45,Self-emp-inc,10,Married,Machine-op-inspct,Male,0,0,50,Canada&USA,<=50K
23,Private,13,Never-married,Exec-managerial,Male,0,0,40,Canada&USA,<=50K
24,Private,10,Separated,Other-service,Male,0,1876,40,Canada&USA,<=50K
31,Self-emp-not-inc,10,Married,Craft-repair,Male,0,0,50,Canada&USA,<=50K
43,Private,9,Separated,Machine-op-inspct,Female,0,0,44,Canada&USA,<=50K
20,Federal-gov,7,Never-married,Other-service,Female,0,0,10,Canada&USA,<=50K
55,Private,9,Married,Sales,Male,0,0,56,Canada&USA,>50K
24,Federal-gov,10,Never-married,Armed-Forces,Male,0,0,40,Canada&USA,<=50K
59,Private,13,Never-married,Exec-managerial,Female,0,0,25,Canada&USA,<=50K
49,Federal-gov,4,Never-married,Other-service,Male,0,0,20,Canada&USA,<=50K
33,Private,14,Married,Prof-specialty,Female,5178,0,10,Canada&USA,>50K
59,Federal-gov,13,Divorced,Adm-clerical,Male,0,0,40,Canada&USA,<=50K
34,Private,14,Never-married,Other-service,Male,0,0,40,Canada&USA,<=50K
20,Private,9,Never-married,Handlers-cleaners,Male,0,0,40,Canada&USA,<=50K
25,Private,13,Never-married,Exec-managerial,Female,0,0,40,Canada&USA,<=50K
49,Private,6,Married,Farming-fishing,Male,0,0,40,Canada&USA,<=50K
59,Private,9,Married,Transport-moving,Male,0,0,40,Canada&USA,>50K
20,Private,9,Never-married,Adm-clerical,Female,0,0,40,Canada&USA,<=50K
33,Private,10,Never-married,Adm-clerical,Female,0,0,35,Canada&USA,<=50K
22,Private,10,Never-married,Transport-moving,Male,0,0,39,Canada&USA,<=50K
58,Self-emp-not-inc,5,Widowed,Other-service,Female,0,0,40,Canada&USA,<=50K
52,Local-gov,9,Widowed,Adm-clerical,Female,0,0,28,Canada&USA,<=50K
36,Private,6,Separated,Machine-op-inspct,Female,0,0,40,Canada&USA,<=50K
41,Local-gov,9,Married,Protective-serv,Male,0,0,40,Canada&USA,<=50K
28,Private,9,Never-married,Transport-moving,Male,2597,0,40,Canada&USA,<=50K
19,Private,10,Never-married,Handlers-cleaners,Male,0,0,16,Canada&USA,<=50K
18,Private,9,Never-married,Other-service,Female,0,0,28,Canada&USA,<=50K
18,Private,9,Never-married,Machine-op-inspct,Female,0,0,48,Canada&USA,<=50K
28,Private,10,Married,Craft-repair,Male,0,0,40,Canada&USA,<=50K
29,Private,11,Married,Exec-managerial,Male,0,0,40,Canada&USA,>50K
40,Private,10,Married,Handlers-cleaners,Male,0,0,40,Canada&USA,<=50K
26,Private,9,Never-married,Handlers-cleaners,Male,0,0,40,Canada&USA,<=50K
46,Private,9,Married,Craft-repair,Male,0,0,40,Canada&USA,<=50K
23,Private,7,Never-married,Other-service,Female,0,0,24,Canada&USA,<=50K
44,Private,9,Married,Adm-clerical,Female,0,0,40,Canada&USA,<=50K
43,Private,13,Divorced,Sales,Female,0,0,40,Canada&USA,>50K
31,Local-gov,13,Divorced,Prof-specialty,Female,0,0,60,Canada&USA,<=50K
18,Private,10,Never-married,Sales,Female,0,0,25,Canada&USA,<=50K
19,Private,10,Never-married,Protective-serv,Male,0,0,30,Canada&USA,<=50K
41,Private,10,Divorced,Tech-support,Female,0,0,40,Canada&USA,<=50K
41,Private,9,Divorced,Handlers-cleaners,Female,0,0,40,Canada&USA,<=50K
69,Private,9,Divorced,Adm-clerical,Female,0,0,25,Canada&USA,<=50K
48,Federal-gov,16,Married,Prof-specialty,Female,0,0,40,Canada&USA,>50K
28,Private,9,Never-married,Prof-specialty,Male,0,0,40,Canada&USA,<=50K
27,Self-emp-not-inc,9,Married,Craft-repair,Male,0,0,60,Europe,>50K
41,Private,14,Married,Prof-specialty,Male,0,2415,50,Canada&USA,>50K
41,Private,10,Married,Adm-clerical,Male,0,0,40,Canada&USA,<=50K
24,Private,9,Never-married,Craft-repair,Female,0,0,40,Canada&USA,<=50K
42,Self-emp-inc,16,Married,Prof-specialty,Male,0,0,41,Canada&USA,>50K
57,Private,9,Married,Craft-repair,Male,0,0,48,Canada&USA,<=50K
30,Private,12,Never-married,Prof-specialty,Female,0,0,40,Canada&USA,<=50K
36,Private,9,Married,Sales,Male,0,0,60,Canada&USA,>50K
49,Private,4,Married,Machine-op-inspct,Male,0,0,40,Canada&USA,<=50K
33,Private,9,Married,Machine-op-inspct,Female,0,0,35,Canada&USA,<=50K
23,Private,6,Married,Farming-fishing,Male,0,0,40,Canada&USA,<=50K
46,Private,14,Married,Prof-specialty,Male,0,0,40,Canada&USA,<=50K
18,Private,10,Never-married,Adm-clerical,Female,0,0,22,Europe,<=50K
40,Private,9,Married,Exec-managerial,Male,7688,0,55,Canada&USA,>50K
43,Self-emp-inc,9,Married,Exec-managerial,Male,0,1887,45,Canada&USA,>50K
34,Private,14,Never-married,Prof-specialty,Female,0,0,30,Canada&USA,<=50K
47,Self-emp-not-inc,9,Widowed,Exec-managerial,Female,0,0,30,Canada&USA,<=50K
44,Private,11,Widowed,Exec-managerial,Female,0,0,30,Canada&USA,<=50K
33,Private,9,Married,Sales,Male,0,0,40,Canada&USA,>50K
55,Private,13,Married,Exec-managerial,Male,15024,0,50,Canada&USA,>50K
19,Private,9,Never-married,Sales,Male,2907,0,30,Canada&USA,<=50K
28,Private,10,Never-married,Other-service,Male,0,0,14,Canada&USA,<=50K
27,Private,7,Married,Other-service,Female,0,0,32,Canada&USA,<=50K
50,Private,4,Married,Machine-op-inspct,Male,0,0,20,Canada&USA,<=50K
22,Private,7,Never-married,Craft-repair,Male,0,0,40,Canada&USA,<=50K
40,State-gov,13,Married,Adm-clerical,Male,0,1887,45,Canada&USA,>50K
25,Private,10,Never-married,Adm-clerical,Female,0,0,40,Canada&USA,<=50K
26,Local-gov,9,Never-married,Craft-repair,Male,0,0,40,Canada&USA,<=50K
22,Private,13,Never-married,Sales,Male,0,0,25,Canada&USA,<=50K
42,Private,10,Never-married,Handlers-cleaners,Female,0,625,40,Canada&USA,<=50K
38,Self-emp-inc,13,Divorced,Exec-managerial,Male,0,0,40,Canada&USA,<=50K
55,Private,7,Married,Other-service,Male,0,0,30,Canada&USA,<=50K
32,Private,9,Married,Sales,Male,0,0,40,Canada&USA,<=50K
22,Private,9,Married,Craft-repair,Male,0,0,45,Canada&USA,<=50K
29,Private,13,Never-married,Sales,Male,0,0,40,Canada&USA,<=50K
46,State-gov,14,Married,Exec-managerial,Male,0,0,45,Canada&USA,>50K
31,Private,10,Married,Exec-managerial,Male,0,0,40,Canada&USA,>50K
58,Self-emp-not-inc,16,Married,Prof-specialty,Male,0,0,16,Canada&USA,>50K
42,Private,9,Married,Craft-repair,Male,0,0,45,Canada&USA,<=50K
18,Private,9,Never-married,Handlers-cleaners,Male,0,0,25,Canada&USA,<=50K
58,Local-gov,9,Divorced,Exec-managerial,Male,0,0,33,Canada&USA,<=50K
54,Private,9,Married,Prof-specialty,Male,0,1887,40,Canada&USA,>50K
34,Private,14,Never-married,Prof-specialty,Male,0,0,40,Canada&USA,<=50K
26,Private,13,Never-married,Adm-clerical,Female,0,0,40,Canada&USA,<=50K
61,Private,8,Married,Exec-managerial,Male,0,0,60,Canada&USA,<=50K
48,Local-gov,14,Separated,Adm-clerical,Female,0,0,40,Canada&USA,<=50K
36,Private,10,Married,Exec-managerial,Male,0,0,45,Canada&USA,>50K
24,Private,11,Married,Machine-op-inspct,Male,0,0,45,Canada&USA,<=50K
40,Private,10,Married,Machine-op-inspct,Male,0,0,37,Canada&USA,<=50K
33,Self-emp-inc,9,Married,Sales,Male,0,0,50,Canada&USA,>50K
37,Private,10,Married,Machine-op-inspct,Male,0,1887,40,Canada&USA,>50K
34,Private,14,Never-married,Exec-managerial,Male,4650,0,40,Canada&USA,<=50K
56,Self-emp-inc,10,Married,Exec-managerial,Male,15024,0,40,Canada&USA,>50K
37,Private,13,Widowed,Exec-managerial,Female,0,0,55,Canada&USA,<=50K
44,Private,9,Divorced,Sales,Female,0,0,40,Canada&USA,<=50K
54,Private,9,Divorced,Handlers-cleaners,Male,0,0,45,Canada&USA,<=50K
23,Private,9,Never-married,Machine-op-inspct,Male,0,0,50,Canada&USA,<=50K
22,Private,9,Never-married,Other-service,Female,0,0,45,Canada&USA,<=50K
33,Private,13,Married,Exec-managerial,Male,0,1977,40,Canada&USA,>50K
39,Private,13,Separated,Prof-specialty,Male,0,0,50,Canada&USA,>50K
47,Private,10,Divorced,Adm-clerical,Female,0,0,37,Canada&USA,<=50K
26,Private,9,Never-married,Prof-specialty,Female,0,0,55,Canada&USA,<=50K
31,Private,10,Divorced,Exec-managerial,Female,0,0,40,Canada&USA,<=50K
44,Private,10,Never-married,Transport-moving,Male,0,0,45,Canada&USA,<=50K
42,Self-emp-inc,15,Married,Prof-specialty,Female,0,0,50,Canada&USA,>50K
19,Private,9,Never-married,Machine-op-inspct,Female,0,0,40,Canada&USA,<=50K
27,Private,9,Married,Handlers-cleaners,Male,0,0,40,Canada&USA,>50K
51,Local-gov,10,Married,Protective-serv,Male,0,0,40,Canada&USA,>50K
28,Self-emp-inc,13,Married,Exec-managerial,Male,0,0,50,Canada&USA,<=50K
57,Private,13,Divorced,Craft-repair,Male,0,0,45,Canada&USA,<=50K
45,Local-gov,13,Divorced,Prof-specialty,Female,0,0,40,Canada&USA,<=50K
50,Private,11,Married,Prof-specialty,Male,0,0,40,Canada&USA,>50K
34,Self-emp-inc,13,Married,Sales,Male,0,0,54,Canada&USA,<=50K
45,Private,4,Married,Craft-repair,Male,0,0,40,Canada&USA,<=50K
73,Local-gov,9,Married,Exec-managerial,Male,0,0,20,Canada&USA,<=50K
34,Private,13,Married,Prof-specialty,Female,0,0,50,Canada&USA,>50K
31,Private,10,Married,Sales,Male,0,0,55,Canada&USA,>50K
19,Private,7,Never-married,Sales,Male,0,0,12,Canada&USA,<=50K
25,Private,10,Never-married,Other-service,Female,0,0,50,Canada&USA,<=50K
38,Federal-gov,11,Divorced,Craft-repair,Female,6497,0,40,Canada&USA,<=50K
39,Private,13,Married,Transport-moving,Male,0,0,40,Canada&USA,<=50K
23,Private,13,Never-married,Tech-support,Female,0,0,32,Canada&USA,<=50K
49,Private,9,Married,Machine-op-inspct,Male,0,0,40,Canada&USA,<=50K
33,Federal-gov,9,Never-married,Other-service,Male,0,0,32,Canada&USA,<=50K
21,Private,3,Never-married,Machine-op-inspct,Male,0,0,38,Center & South America,<=50K
31,Private,11,Separated,Craft-repair,Male,0,0,40,Canada&USA,<=50K
23,Private,13,Never-married,Exec-managerial,Female,0,0,45,Canada&USA,<=50K
34,Private,13,Married,Adm-clerical,Male,0,0,40,Asia,<=50K
25,Private,9,Never-married,Machine-op-inspct,Female,0,0,40,Asia,<=50K
39,Private,9,Never-married,Craft-repair,Male,0,0,40,Canada&USA,<=50K
52,Self-emp-inc,9,Married,Sales,Male,0,0,40,Canada&USA,>50K
63,Local-gov,5,Married,Transport-moving,Male,7688,0,40,Canada&USA,>50K
41,Private,10,Married,Craft-repair,Male,0,0,40,Canada&USA,<=50K
46,Private,13,Married,Prof-specialty,Male,15024,0,38,Canada&USA,>50K
53,Local-gov,9,Married,Exec-managerial,Male,0,0,40,Canada&USA,<=50K
18,Private,8,Never-married,Priv-house-serv,Male,0,0,40,Canada&USA,<=50K
38,Private,15,Married,Prof-specialty,Male,0,0,50,Canada&USA,<=50K
55,Private,14,Never-married,Exec-managerial,Female,0,0,50,Asia,<=50K
34,Private,9,Married,Tech-support,Male,0,0,40,Canada&USA,>50K
80,Self-emp-not-inc,9,Married,Other-service,Male,0,0,30,Canada&USA,<=50K
34,Private,11,Divorced,Tech-support,Female,0,0,60,Canada&USA,<=50K
52,Private,10,Married,Tech-support,Male,5013,0,40,Canada&USA,<=50K
42,Private,9,Never-married,Other-service,Female,0,0,28,Center & South America,<=50K
26,Private,10,Never-married,Sales,Female,0,0,40,Canada&USA,<=50K
31,Private,9,Married,Transport-moving,Male,0,0,40,Canada&USA,<=50K
25,Local-gov,9,Never-married,Other-service,Female,0,0,35,Canada&USA,<=50K
55,Self-emp-not-inc,9,Married,Craft-repair,Male,0,2057,60,Canada&USA,<=50K
19,Private,10,Never-married,Other-service,Female,0,0,12,Canada&USA,<=50K
62,Self-emp-not-inc,10,Married,Transport-moving,Male,0,0,32,Canada&USA,<=50K
22,Federal-gov,10,Never-married,Adm-clerical,Female,0,0,20,Canada&USA,<=50K
35,Private,9,Married,Handlers-cleaners,Male,0,0,40,Canada&USA,<=50K
28,Private,9,Married,Sales,Female,0,0,40,Canada&USA,<=50K
47,Private,9,Married,Transport-moving,Male,0,0,70,Canada&USA,>50K
44,State-gov,9,Married,Machine-op-inspct,Male,0,0,40,Canada&USA,<=50K
21,Private,10,Never-married,Sales,Male,0,0,15,Canada&USA,<=50K
35,Private,11,Never-married,Craft-repair,Male,0,0,50,Canada&USA,<=50K
24,Private,13,Married,Prof-specialty,Male,0,0,40,Canada&USA,>50K
28,Private,13,Never-married,Tech-support,Male,0,0,50,Canada&USA,<=50K
21,Private,10,Never-married,Machine-op-inspct,Male,0,0,35,Canada&USA,<=50K
62,Federal-gov,10,Divorced,Tech-support,Male,4650,0,40,Canada&USA,<=50K
39,Private,9,Never-married,Other-service,Female,0,0,40,Canada&USA,<=50K
30,State-gov,9,Never-married,Other-service,Male,0,0,40,Canada&USA,<=50K
72,Self-emp-not-inc,15,Never-married,Prof-specialty,Male,0,1429,20,Canada&USA,<=50K
50,Private,10,Married,Exec-managerial,Female,0,0,50,Canada&USA,<=50K
28,Local-gov,14,Never-married,Prof-specialty,Male,0,0,40,Canada&USA,<=50K
29,Private,10,Never-married,Prof-specialty,Female,0,0,40,Canada&USA,<=50K
26,Private,13,Never-married,Adm-clerical,Female,0,0,40,Canada&USA,<=50K
27,Private,14,Never-married,Exec-managerial,Female,0,0,40,Canada&USA,<=50K
29,Private,10,Married,Handlers-cleaners,Male,3103,0,40,Canada&USA,>50K
29,Private,6,Married,Craft-repair,Male,0,0,25,Canada&USA,<=50K
31,Private,7,Married,Sales,Female,0,0,20,Canada&USA,<=50K
25,Private,9,Married,Exec-managerial,Male,0,0,75,Canada&USA,<=50K
58,Private,6,Married,Transport-moving,Male,0,0,40,Canada&USA,>50K
64,Private,10,Married,Exec-managerial,Female,0,0,40,Canada&USA,>50K
46,State-gov,14,Never-married,Exec-managerial,Male,0,0,38,Canada&USA,<=50K
19,Private,9,Never-married,Other-service,Female,0,0,35,Canada&USA,<=50K
42,Private,9,Divorced,Other-service,Male,0,0,52,Canada&USA,<=50K
18,Private,7,Never-married,Handlers-cleaners,Male,0,0,24,Canada&USA,<=50K
58,Self-emp-inc,13,Married,Craft-repair,Male,15024,0,50,Canada&USA,>50K
20,Private,10,Never-married,Protective-serv,Male,0,0,60,Canada&USA,<=50K
35,Federal-gov,9,Married,Craft-repair,Male,0,0,40,Canada&USA,>50K
32,Private,9,Married,Handlers-cleaners,Male,0,0,38,Canada&USA,>50K
23,Private,9,Never-married,Handlers-cleaners,Female,0,0,25,Canada&USA,<=50K
31,Private,10,Divorced,Tech-support,Female,0,0,40,Canada&USA,<=50K
33,Private,13,Married,Sales,Male,0,0,55,Canada&USA,<=50K
41,Private,10,Never-married,Machine-op-inspct,Female,0,0,48,Canada&USA,<=50K
22,Private,9,Never-married,Machine-op-inspct,Male,0,0,40,Canada&USA,<=50K
46,Private,10,Married,Protective-serv,Male,0,0,40,Canada&USA,>50K
61,Federal-gov,10,Married,Transport-moving,Male,0,0,40,Canada&USA,<=50K
30,Private,9,Never-married,Exec-managerial,Male,0,0,40,Canada&USA,<=50K
42,Private,9,Married,Exec-managerial,Male,0,0,55,Canada&USA,>50K
63,Private,6,Married,Handlers-cleaners,Male,0,0,40,Canada&USA,<=50K
26,Private,10,Married,Sales,Male,0,0,40,Canada&USA,<=50K
42,Private,6,Divorced,Adm-clerical,Female,0,0,40,Canada&USA,<=50K
23,Private,10,Married,Other-service,Male,0,0,40,Canada&USA,<=50K
25,Private,9,Never-married,Machine-op-inspct,Male,0,1590,40,Canada&USA,<=50K
30,Private,5,Married,Other-service,Male,0,0,32,Center & South America,>50K
23,Private,9,Never-married,Sales,Male,0,0,40,Canada&USA,<=50K
34,Self-emp-not-inc,11,Never-married,Farming-fishing,Male,27828,0,60,Canada&USA,>50K
30,Private,9,Married,Machine-op-inspct,Male,0,2057,48,Canada&USA,<=50K
39,Private,10,Married,Craft-repair,Male,0,0,40,Canada&USA,>50K
30,Private,7,Never-married,Handlers-cleaners,Male,0,1721,38,Center & South America,<=50K
38,Local-gov,10,Divorced,Adm-clerical,Female,0,0,38,Canada&USA,<=50K
26,Private,9,Divorced,Exec-managerial,Female,0,0,40,Canada&USA,<=50K
20,Private,10,Never-married,Handlers-cleaners,Male,0,0,16,Canada&USA,<=50K
33,Private,9,Married,Adm-clerical,Female,0,0,40,Canada&USA,<=50K
24,Private,13,Never-married,Adm-clerical,Male,0,0,40,Canada&USA,<=50K
42,Self-emp-inc,13,Married,Exec-managerial,Male,0,0,60,Canada&USA,>50K
51,Self-emp-not-inc,9,Married,Sales,Male,3103,0,84,Asia,<=50K
56,Local-gov,12,Married,Tech-support,Male,0,0,45,Canada&USA,>50K
22,Private,10,Never-married,Handlers-cleaners,Male,0,0,40,Canada&USA,<=50K
52,Self-emp-not-inc,10,Married,Farming-fishing,Male,0,0,60,Canada&USA,<=50K
44,Private,13,Divorced,Exec-managerial,Female,4934,0,45,Canada&USA,>50K
34,Private,9,Married,Adm-clerical,Female,4064,0,35,Canada&USA,<=50K
51,Private,10,Divorced,Craft-repair,Male,0,0,42,Canada&USA,>50K
19,Private,10,Never-married,Sales,Female,0,0,25,Canada&USA,<=50K
37,Private,13,Married,Exec-managerial,Male,0,0,40,Canada&USA,>50K
68,Private,9,Married,Machine-op-inspct,Male,0,0,40,Canada&USA,>50K
22,Private,10,Divorced,Protective-serv,Male,0,0,40,Canada&USA,<=50K
56,Self-emp-inc,13,Married,Exec-managerial,Male,0,0,40,Canada&USA,<=50K
37,Private,9,Married,Craft-repair,Male,0,0,40,Canada&USA,<=50K
52,Private,2,Married,Machine-op-inspct,Male,0,0,40,Center & South America,<=50K
26,Private,9,Separated,Handlers-cleaners,Male,0,0,40,Center & South America,<=50K
33,Private,14,Married,Prof-specialty,Male,0,0,50,Canada&USA,<=50K
45,Local-gov,14,Divorced,Prof-specialty,Female,0,0,42,Canada&USA,<=50K
18,Private,7,Never-married,Other-service,Male,0,0,15,Canada&USA,<=50K
43,Self-emp-not-inc,10,Married,Farming-fishing,Male,0,0,60,Canada&USA,>50K
18,Private,9,Never-married,Handlers-cleaners,Male,0,0,20,Canada&USA,<=50K
57,Private,9,Married,Craft-repair,Male,0,0,40,Canada&USA,>50K
41,Private,9,Divorced,Adm-clerical,Female,3674,0,42,Canada&USA,<=50K
34,Private,14,Married,Exec-managerial,Male,0,1887,50,Canada&USA,>50K
19,Private,9,Never-married,Sales,Female,0,0,40,Canada&USA,<=50K
44,Private,5,Divorced,Other-service,Female,0,0,55,Center & South America,<=50K
56,Private,6,Widowed,Other-service,Female,0,0,40,Canada&USA,<=50K
36,Self-emp-inc,9,Married,Farming-fishing,Male,0,0,80,Canada&USA,<=50K
48,Private,13,Divorced,Exec-managerial,Female,0,0,48,Canada&USA,<=50K
29,Private,9,Married,Transport-moving,Male,0,0,40,Canada&USA,>50K
33,Private,13,Never-married,Craft-repair,Male,2174,0,40,Canada&USA,<=50K
31,Private,3,Married,Other-service,Male,0,0,40,Center & South America,<=50K
39,Private,14,Married,Prof-specialty,Male,0,0,45,Canada&USA,>50K
66,Private,9,Married,Exec-managerial,Male,10605,0,40,Canada&USA,>50K
27,Private,13,Never-married,Prof-specialty,Female,0,0,50,Canada&USA,>50K
39,Private,9,Divorced,Exec-managerial,Female,99999,0,40,Canada&USA,>50K
59,Private,4,Married,Craft-repair,Male,5178,0,50,Canada&USA,>50K
26,Private,9,Never-married,Other-service,Female,0,0,40,Canada&USA,<=50K
31,Private,11,Divorced,Craft-repair,Male,0,0,40,Canada&USA,<=50K
23,Private,9,Never-married,Handlers-cleaners,Male,0,0,30,Canada&USA,<=50K
36,Local-gov,9,Divorced,Adm-clerical,Female,0,0,40,Canada&USA,<=50K
34,Private,10,Married,Other-service,Female,0,0,12,Canada&USA,>50K
32,Private,9,Married,Transport-moving,Male,0,0,84,Canada&USA,>50K
37,Private,13,Married,Prof-specialty,Male,0,0,50,Canada&USA,>50K
33,Private,13,Never-married,Sales,Male,0,0,45,Canada&USA,<=50K
50,Self-emp-not-inc,15,Married,Prof-specialty,Male,99999,0,80,Canada&USA,>50K
32,Federal-gov,12,Never-married,Protective-serv,Male,0,0,40,Canada&USA,<=50K
35,Private,13,Never-married,Adm-clerical,Female,0,0,40,Canada&USA,<=50K
37,Private,7,Married,Craft-repair,Male,0,0,40,Canada&USA,<=50K
44,Private,10,Divorced,Craft-repair,Male,0,0,60,Canada&USA,<=50K
57,Private,10,Divorced,Handlers-cleaners,Male,0,0,25,Canada&USA,<=50K
29,Local-gov,10,Married,Exec-managerial,Female,0,0,40,Canada&USA,<=50K
55,Private,9,Married,Craft-repair,Male,0,0,50,Canada&USA,>50K
43,Self-emp-inc,15,Married,Prof-specialty,Male,0,0,25,Canada&USA,>50K
43,Private,10,Married,Sales,Male,0,0,70,Canada&USA,<=50K
45,Self-emp-not-inc,10,Married,Sales,Male,0,0,60,Canada&USA,>50K
33,Self-emp-not-inc,14,Married,Prof-specialty,Female,0,0,8,Canada&USA,<=50K
26,Private,6,Divorced,Other-service,Female,0,0,40,Europe,<=50K
23,Private,10,Married,Sales,Male,0,0,68,Canada&USA,<=50K
41,Private,4,Separated,Craft-repair,Male,0,0,40,Center & South America,<=50K
24,Private,9,Married,Craft-repair,Male,0,0,40,Canada&USA,<=50K
